numAllocBlue,numAllocRed,cohesionMax,convergeBlue,convergeRed,weightBlue,weightRed,stayingPwHVT,yAlpha,yBeta,zAlpha,zBeta,survBlue,survRed,BlueWon,DistanceCenter,DistanceUAV
1,1,500,500,500,0,0,1,1,1,1,1,19,25,0,534,5289
1,1,500,500,500,0,0,1,1,1,1,1,24,29,0,574,5261
1,1,500,500,500,0,0,1,1,1,1,1,19,23,0,286,5299
1,1,500,500,500,0,0,1,1,1,1,1,26,19,1,854,5235
1,1,500,500,500,0,0,1,1,1,1,1,23,20,0,312,5200
1,1,500,500,500,0,0,1,1,1,1,1,18,23,0,446,5362
1,1,500,500,500,0,0,1,1,1,1,1,32,21,1,900,5125
1,1,500,500,500,0,0,1,1,1,1,1,21,32,0,637,5188
1,1,500,500,500,0,0,1,1,1,1,1,17,24,0,579,5289
1,1,500,500,500,0,0,1,1,1,1,1,19,18,0,998,5217
1,1,500,500,500,0,0,1,1,1,1,1,26,30,0,526,5229
1,1,500,500,500,0,0,1,1,1,1,1,20,21,1,470,5343
1,1,500,500,500,0,0,1,1,1,1,1,21,16,0,422,5351
1,1,500,500,500,0,0,1,1,1,1,1,18,23,1,100,5333
1,1,500,500,500,0,0,1,1,1,1,1,15,21,0,604,5258
1,1,500,500,500,0,0,1,1,1,1,1,21,21,0,745,5200
1,1,500,500,500,0,0,1,1,1,1,1,22,22,0,288,5306
1,1,500,500,500,0,0,1,1,1,1,1,19,22,0,1009,5154
1,1,500,500,500,0,0,1,1,1,1,1,27,16,1,473,5353
1,1,500,500,500,0,0,1,1,1,1,1,20,22,0,1090,5105
1,1,500,500,500,0,0,1,1,1,1,1,22,22,1,787,5104
1,1,500,500,500,0,0,1,1,1,1,1,13,17,0,369,5296
1,1,500,500,500,0,0,1,1,1,1,1,22,18,1,1352,4922
1,1,500,500,500,0,0,1,1,1,1,1,15,24,0,683,5103
1,1,500,500,500,0,0,1,1,1,1,1,14,30,0,1327,5006
1,1,500,500,500,0,0,1,1,1,1,1,25,28,1,659,5257
1,1,500,500,500,0,0,1,1,1,1,1,14,19,0,909,5160
1,1,500,500,500,0,0,1,1,1,1,1,26,23,1,701,5292
1,1,500,500,500,0,0,1,1,1,1,1,26,13,1,768,5216
1,1,500,500,500,0,0,1,1,1,1,1,18,23,0,865,5118
1,1,500,500,500,0,0,1,1,1,1,1,14,17,0,798,5218
1,1,500,500,500,0,0,1,1,1,1,1,15,24,0,937,5160
1,1,500,500,500,0,0,1,1,1,1,1,21,15,1,1627,4926
1,1,500,500,500,0,0,1,1,1,1,1,15,25,0,1224,5119
1,1,500,500,500,0,0,1,1,1,1,1,22,27,1,583,5252
